flow_duration_ms,total_fwd_packets,total_bwd_packets,total_fwd_bytes,total_bwd_bytes,packet_length_mean,packet_length_std,iat_mean_ms,iat_std_ms,fwd_bwd_byte_ratio,active_flows_count,unique_dst_ports,ttl_mean,ttl_variance,tcp_win_mean,tcp_win_min,flag_syn_ratio,flag_ack_ratio,flag_fin_ratio,flag_rst_ratio,fragment_flag_count,retransmission_count,infil_label,stage_label
-0.008801172,0.518945,0.518945,1.0153033,1.0153033,1.0968677,0.6149405,0.18861829,0.30763763,0.0,0.057142857,0.88461536,0.15493365,-0.37936568,0.1367525,0.0,-0.21182047,0.46797732,-0.5255973,1.4926407,0.0,0.2,1.0,3
0.95373553,6.044183,6.044183,9.356101,9.356103,1.2293918,18.931166,0.006758258,0.6038393,0.0,0.37857142,0.42307693,-0.533126,0.35433748,-0.06366104,0.0,-0.06823344,0.23774254,0.76852036,1.6623377,0.0,0.5,1.0,3
1.1457014,0.95648676,0.9564869,0.36524835,0.36524835,-0.16168974,0.37350172,0.8302716,0.6823784,0.0,0.5,1.3461539,0.00018709378,-0.10327212,-0.07028237,0.0,0.057638254,0.25829923,-0.13274013,0.72727275,0.0,0.5,1.0,3
3.1619697,1.1530325,1.1530325,1.2720945,1.2720945,0.5488425,1.3149436,1.8627722,0.7605176,0.0,1.5285715,1.8076923,-0.30463117,0.0,-0.86632615,0.9079602,-0.49326378,-0.3255606,0.27928072,-0.15584415,0.0,-0.1,1.0,3
1.9147687,0.039094914,0.039094944,0.2040305,0.20403051,0.66368407,-0.015694767,4.4699044,0.78928745,0.0,0.69285715,0.7692308,1.0652065,-0.99928945,0.64751434,10.188899,-0.6556349,-1.4890183,-0.5255973,-0.15584415,0.0,-0.4,1.0,3
1.0530717,-0.013388673,-0.013388674,0.036370486,0.036370516,0.27789494,0.09963352,3.1205418,0.7844244,0.0,0.25,0.5769231,1.0652065,-0.99928945,0.64751434,10.188899,-0.6556349,-1.4890183,-0.5255973,-0.15584415,0.0,-0.4,1.0,3
1.098913,0.12210471,0.12210472,0.37795356,0.37795356,0.8816494,0.37471092,2.3499463,0.5131975,0.0,0.95714283,0.42307693,1.0652065,-0.99928945,0.64751434,10.188899,-0.6556349,-1.4890183,-0.5255973,-0.15584415,0.0,-0.4,1.0,3
1.021083,0.1954746,0.19547464,0.5632182,0.5632182,1.0955136,0.28359893,1.9245927,0.4564037,0.0,1.0642858,0.30769232,1.0652065,-0.99928945,0.64751434,10.188899,-0.6556349,-1.4890183,-0.5255973,-0.15584415,0.0,-0.4,1.0,3
0.61642635,1.1326817,1.1326817,2.5720456,2.5720456,1.7156699,5.222588,0.4060115,0.32685435,0.0,0.9071429,0.1923077,1.0652065,-0.99928945,0.64751434,10.188899,-0.6556349,-1.4890183,-0.5255973,-0.15584415,0.0,-0.4,1.0,3
0.673257,-0.031597264,-0.03159728,0.11992524,0.11992529,0.6346698,-0.17235854,2.3695948,0.2412483,0.0,1.2571429,0.53846157,0.6282755,-0.3834151,0.64751434,10.188899,-0.6556349,-1.4890183,-0.5255973,-0.15584415,0.0,-0.4,1.0,3
0.25894764,-0.0032132869,-0.0032132734,0.082032874,0.082032904,0.4050845,-0.15613882,1.2649745,0.11673747,0.0,1.2071428,0.46153846,-0.2853076,-0.0051402557,-0.8018195,0.9079602,-0.55476797,0.34566507,-0.025597274,-0.15584415,0.0,-0.3,1.0,3
0.754036,-0.026241794,-0.02624181,0.1514256,0.15142564,0.7274391,-0.16977069,2.5247436,0.26491398,0.0,1.5,0.5,0.34679103,-0.23293564,-0.54446185,0.0,-0.31423917,-0.7363277,-0.5255973,0.7952048,0.0,-0.3,1.0,3
0.9126795,0.19011913,0.19011916,0.27819726,0.2781973,0.46157667,-0.13815436,1.7802457,0.2398337,0.0,2.1142857,1.3461539,1.0652065,-0.99928945,0.58242214,9.987562,-0.48493704,-1.3008457,-0.5255973,-0.15584415,0.0,-0.4,1.0,3
0.7084198,3.0044181,3.0044184,6.7532477,6.7532477,2.0012465,9.48931,0.10858916,0.108073585,0.0,2.4714286,0.15384616,-0.24558663,0.7697113,0.64751434,10.188899,-0.6556349,-1.4890183,-0.5255973,-0.15584415,0.0,-0.4,1.0,3
0.666703,-0.02409961,-0.024099613,0.28095204,0.28095207,1.1811267,-0.21436037,2.3039694,0.13051839,0.0,2.4571428,0.30769232,-1.5563798,1.3593782,0.58242214,9.987562,0.4539011,-1.4890183,-0.5255973,-0.15584415,0.0,-0.4,1.0,3
0.7519592,2.3392687,2.3392692,5.333944,5.333944,1.9773412,8.727039,0.19270666,0.23182756,0.0,1.8071429,0.0,1.0652065,-0.99928945,0.58242214,9.987562,0.4539011,-0.26589608,-0.5255973,-0.15584415,0.0,-0.4,1.0,3
0.67287266,0.3582809,0.3582809,0.5615811,0.5615811,0.68823326,-0.014700416,1.0667259,0.07682106,0.0,3.3857143,1.1923077,1.0652065,-0.99928945,0.58242214,9.987562,1.5634372,-1.4890183,-0.5255973,-0.15584415,0.0,-0.4,1.0,3
0.71072584,4.456286,4.4562864,10.3019285,10.3019285,2.15669,10.834637,0.022887912,-0.046634283,0.0,4.992857,0.115384616,1.0652065,-0.99928945,0.58242214,9.987562,1.5634372,-1.4890183,-0.5255973,-0.15584415,0.0,-0.4,1.0,3
